nNodes,nFlows,pktPerSec,speed_mps,throughput_mbps,delay_ms,pdr_pct,pdrop_pct,energy_j,run_id
60,15,20,5,0.0930443,5.99676,7.75968,87.2307,2949.81,1
60,15,20,10,0.0524896,53.5136,4.60553,89.6652,2949.59,1
60,15,20,15,0.0452101,33.4086,4.64673,89.5694,2949.64,1
60,15,20,20,0.0458155,55.6634,4.03075,90.4357,2949.54,1
60,15,20,25,0.0379181,45.1912,3.38983,91.275,2949.21,1
60,15,20,5,0.0340131,10.1562,2.92435,91.7523,2949.25,2
60,15,20,10,0.0474115,94.5661,4.02383,90.7084,2949.46,2
60,15,20,15,0.0224688,36.1638,2.0426,92.4832,2949,2
60,15,20,20,0.0293331,74.38,2.71404,91.4269,2949.3,2
60,15,20,25,0.0199725,99.7455,1.89306,92.2647,2951.25,2
