nNodes,nFlows,pktPerSec,speed_mps,throughput_mbps,delay_ms,pdr_pct,pdrop_pct,energy_j,run_id
60,15,20,5,0.0930528,25.3533,7.76461,87.2263,2949.81,1
60,15,20,10,0.0520587,80.8901,4.66996,89.6074,2949.68,1
60,15,20,15,0.0447688,29.1192,4.60579,89.5706,2949.64,1
60,15,20,20,0.0469971,54.7754,4.14677,90.2621,2949.44,1
60,15,20,25,0.0373728,51.6464,3.33256,91.4356,2949.31,1
60,15,20,5,0.0318307,42.7948,2.77778,91.9701,2949.15,2
60,15,20,10,0.0474507,91.3106,4.05161,90.6825,2949.4,2
60,15,20,15,0.0218064,19.4096,2.12518,92.4134,2948.95,2
60,15,20,20,0.0298443,82.6062,2.71562,90.8392,2950.75,2
60,15,20,25,0.0198579,78.3017,1.8991,92.456,2951.22,2
