protocol_version,n_nodes,n_flows,packets_per_second,speed_mps,tx_range_m,coverage_scale,sim_time_s,tx_packets,rx_packets,throughput_mbps,avg_e2e_delay_ms,pdr,drop_ratio,total_energy_consumption_j
1,10,10,300,15.000000,120.000000,3.000000,60.000000,161730,55684,2.300255,157.268463,0.344302,0.655698,529.007579
2,10,10,300,15.000000,120.000000,3.000000,60.000000,161730,48710,2.012166,101.423725,0.301181,0.698819,521.347917
1,10,20,300,15.000000,120.000000,3.000000,60.000000,322859,58114,2.400637,155.735758,0.179998,0.820002,526.815647
2,10,20,300,15.000000,120.000000,3.000000,60.000000,322859,73378,3.031178,175.892672,0.227276,0.772724,537.906673
1,10,30,100,15.000000,120.000000,3.000000,60.000000,161130,57436,2.372629,69.530872,0.356458,0.643542,525.061593
2,10,30,100,15.000000,120.000000,3.000000,60.000000,161130,41964,1.733495,82.733267,0.260436,0.739564,520.258619
1,10,30,200,15.000000,120.000000,3.000000,60.000000,322260,67905,2.805094,85.545474,0.210715,0.789285,525.625125
2,10,30,200,15.000000,120.000000,3.000000,60.000000,322260,70880,2.927988,162.761572,0.219947,0.780053,534.509109
1,10,30,300,5.000000,120.000000,3.000000,60.000000,483388,89438,3.694602,90.848645,0.185023,0.814977,526.786248
2,10,30,300,5.000000,120.000000,3.000000,60.000000,483388,65218,2.694096,277.248140,0.134919,0.865081,538.111159
1,10,30,300,10.000000,120.000000,3.000000,60.000000,483388,68191,2.816908,179.157106,0.141069,0.858931,534.389872
2,10,30,300,10.000000,120.000000,3.000000,60.000000,483388,86683,3.580796,81.400853,0.179324,0.820676,529.583756
1,10,30,300,15.000000,120.000000,3.000000,60.000000,483388,80897,3.341782,86.702356,0.167354,0.832646,527.472293
2,10,30,300,15.000000,120.000000,3.000000,60.000000,483388,95956,3.963855,182.979199,0.198507,0.801493,539.662000
1,10,30,300,20.000000,120.000000,3.000000,60.000000,483388,83671,3.456373,104.969299,0.173093,0.826907,528.352758
2,10,30,300,20.000000,120.000000,3.000000,60.000000,483388,79451,3.282049,142.745303,0.164363,0.835637,534.828857
1,10,30,300,25.000000,120.000000,3.000000,60.000000,483388,77234,3.190466,88.935777,0.159776,0.840224,530.006681
2,10,30,300,25.000000,120.000000,3.000000,60.000000,483388,60164,2.485320,103.136515,0.124463,0.875537,523.957319
1,10,30,400,15.000000,120.000000,3.000000,60.000000,644520,70516,2.912952,135.159463,0.109409,0.890591,531.251808
2,10,30,400,15.000000,120.000000,3.000000,60.000000,644520,104823,4.330143,127.397957,0.162637,0.837363,537.578068
1,10,30,500,15.000000,120.000000,3.000000,60.000000,805649,121037,4.999928,184.967223,0.150235,0.849765,545.289287
2,10,30,500,15.000000,120.000000,3.000000,60.000000,805649,97171,4.014046,133.841196,0.120612,0.879388,531.481332
1,10,40,300,15.000000,120.000000,3.000000,60.000000,643318,105990,4.378351,176.440942,0.164755,0.835245,540.808636
2,10,40,300,15.000000,120.000000,3.000000,60.000000,643318,87497,3.614422,199.940100,0.136009,0.863991,533.373080
1,10,50,300,15.000000,120.000000,3.000000,60.000000,802646,108260,4.472122,204.679020,0.134879,0.865121,540.344086
2,10,50,300,15.000000,120.000000,3.000000,60.000000,802646,101179,4.179613,171.485307,0.126057,0.873943,537.575579
1,20,30,300,15.000000,120.000000,3.000000,60.000000,483388,70723,2.921503,286.949636,0.146307,0.853693,1072.721579
2,20,30,300,15.000000,120.000000,3.000000,60.000000,483388,52386,2.164018,241.165087,0.108373,0.891627,1067.928205
1,40,30,300,15.000000,120.000000,3.000000,60.000000,483388,29641,1.224443,420.295117,0.061319,0.938681,2131.063517
